"DATE","total_pelicans","total_pelicans_injured","total_pelicans_dead"
2023-09-22,8,0,0
2023-09-24,4,1,0
2023-09-27,12,0,0
2023-09-30,24,0,0
2023-10-06,7,0,0
2023-10-08,0,0,0
2023-10-11,3,0,0
2023-10-14,8,0,0
2023-10-20,11,0,0
2023-10-22,4,1,0
2023-10-25,9,0,0
2023-10-28,0,0,0
2023-11-03,8,1,0
2023-11-05,3,0,0
2023-11-08,8,0,0
2023-11-11,8,0,0
2023-12-22,73,2,1
2023-12-23,52,3,0
2023-12-29,63,8,0
2023-12-30,63,6,0
2024-01-05,80,9,0
2024-01-07,66,10,0
2024-01-10,115,8,0
2024-01-13,27,2,0
2024-01-14,4,0,0
2024-01-21,62,1,0
2024-01-23,36,3,0
2024-01-24,26,2,0
2024-01-27,46,2,0
2024-01-30,27,7,0
2024-02-02,59,3,0
2024-02-04,67,5,0
2024-02-07,9,0,0
2024-02-10,6,0,0
2024-02-11,37,3,0
2024-02-13,25,1,0
2024-02-16,49,4,0
2024-02-20,54,3,0
2024-02-23,79,1,0
2024-02-25,43,1,1
2024-02-27,37,2,0
2024-02-28,40,4,0
2024-03-01,58,4,0
2024-03-05,13,2,0
2024-03-06,75,1,0
2024-03-08,26,3,0
2024-03-09,15,0,0
2024-03-10,18,1,0
2024-03-12,84,5,0
2024-03-13,41,3,0
2024-03-21,16,0,0
2024-03-24,46,3,0
2024-03-26,29,2,0
2024-03-27,102,4,0
2024-03-30,134,2,0
2024-04-02,37,0,0
2024-04-05,2,0,0
2024-04-07,51,2,0
2024-04-09,90,4,0
2024-04-10,33,1,0
2024-04-13,60,0,0
2024-04-16,67,5,0
2024-04-19,56,3,0
2024-04-20,73,4,0
2024-04-21,14,0,0
2024-04-24,104,5,0
2024-04-25,62,2,0
2024-04-30,69,1,0
